Ref,Foul,P_s,P_d,T_s,T_d,T_c,T_e,T_def,ACS,IUV1,T_sc,T_sh,T_dsh
70,0,0.593984962,0.743169399,0.575268817,0.046783626,0.652014652,0.050328228,0,1,1,0.656047198,0.813333333,0.925799685
70,20,0,0,0.747311828,0.175438596,0.362637363,0.112326769,0.258878505,0.208232446,0.627329193,0.52979351,0.870952381,0.621394861
70,40,0,0,0.806451613,0.315789474,0.534798535,0.334062728,0.275700935,0.20338983,0.627329193,0.526253687,0.926666667,0.713162035
70,60,0,0.00273224,0.774193548,0.631578947,0.846153846,0.910284463,0.488785047,0.242130751,0.642857143,0.527433628,0.662857143,0.816990037
70,80,0,0.005464481,0.876344086,0.771929825,0.754578755,1,0.612149533,0.157384988,0.456521739,0.408849557,0.697142857,0.699003671
70,100,0,0.005464481,1,0.842105263,0.380952381,0.988329686,1,0.10653753,0.099378882,0.307964602,0.457619048,0.328264289
100,0,0.631578947,0.762295082,0.446236559,0.093567251,0.443223443,0.115244347,0.026168224,0.082324455,0.767080745,0.646607669,0.691428571,0.710015731
100,20,0.62406015,0.852459016,0.430107527,0.204678363,0.78021978,0.533916849,0.063551402,0.089588378,0.860248447,0.789380531,0.611428571,0.907184059
100,40,0.639097744,0.920765027,0.446236559,0.362573099,1,0.863603209,0.100934579,0.084745763,0.880434783,0.828318584,0.592380952,1
100,60,0.714285714,0.907103825,0.489247312,0.67251462,0.695970696,0.868708971,0.280373832,0.041162228,0.534161491,0.438938053,0.478095238,0.690613529
100,80,0.819548872,0.909836066,0.548387097,1,0.399267399,0.89861415,0.553271028,0.02905569,0.285714286,0.007079646,0.287619048,0.381751442
100,100,0.977443609,0.898907104,0.876344086,0.847953216,0.234432234,0.894237783,0.91588785,0.036319613,0.02173913,0.213569321,0.39047619,0.214472994
130,0,0.631578947,0.972677596,0.005376344,0,0.648351648,0.266958424,0.059813084,0.046004843,0.776397516,0.907374631,0.024761905,0.84189827
130,20,0.669172932,0.898907104,0.091397849,0.076023392,0.391941392,0.396790664,0.185981308,0.043583535,0.627329193,0.900294985,0.013333333,0.552700577
130,40,0.654135338,0.991803279,0.064516129,0.157894737,0.666666667,0.666666667,0.164485981,0.03874092,0.720496894,0.994690265,0,0.716308338
130,60,0.721804511,0.912568306,0.209677419,0.514619883,0.362637363,0.853391685,0.301869159,0.024213075,0.492236025,0.646607669,0.061904762,0.36234924
130,80,0.766917293,0.87704918,0.349462366,0.801169591,0.230769231,0.735229759,0.424299065,0.012106538,0.363354037,0.148672566,0.14,0.274777137
130,100,0.902255639,0.879781421,0.709677419,0.912280702,0.095238095,0.797957695,0.751401869,0.00968523,0.114906832,0.044837758,0.308571429,0.111955952
150,0,0.639097744,0.978142077,0,0,0.622710623,0.266958424,0.071028037,0.043583535,0.77173913,0.912094395,0.00952381,0.815941269
150,20,0.669172932,0.918032787,0.086021505,0.076023392,0.435897436,0.434719183,0.160747664,0.036319613,0.627329193,0.930973451,0.032380952,0.579444153
150,40,0.669172932,1,0.086021505,0.169590643,0.663003663,0.685630926,0.165420561,0.036319613,0.678571429,1,0.023809524,0.6948086
150,60,0.736842105,0.907103825,0.23655914,0.555555556,0.315018315,0.849015317,0.325233645,0.014527845,0.440993789,0.592920354,0.082857143,0.314630309
150,80,0.827067669,0.87704918,0.462365591,0.906432749,0.15018315,0.743982495,0.543925234,0,0.239130435,0,0.172380952,0.189826953
150,100,1,0.887978142,0.806451613,0.935672515,0,0.844638949,0.995327103,0.055690073,0,0.049557522,0.2,0
